Problem,Test Number,Correct Number
2k System of Numeration,10,10
Abacus Mental Arithmetic Test,10,10
Across the river,10,3
Angry Birds,20,17
Arrange Seats,10,10
Borrow Classrooms,20,18
Building Block Competition,10,10
Buying Pencils,20,20
Calculate the coefficients,10,10
Campfire Party,10,6
Cell Division,10,10
Change Classrooms,25,25
Checkerboard,10,5
Children’s Numbers,10,1
Chorus Formation,10,10
Circle,10,1
Combinatorial Number Problem,20,20
Congruence Equation,10,10
Counting Numbers,10,10
Cultural Journey,10,9
Currency System,20,0
Defend the Kingdom,25,0
Delimit the Minimum Passing Score,10,10
Digit Reversal,10,10
Divert water into the city,10,5
Division,22,1
Doudizhu,20,5
Earthworms,20,8
Energy Necklace,10,10
Epidemic Control,10,0
FBI Tree,10,10
Find the Way,10,10
Flappy Bird,20,0
Florist,10,0
Fruit Pile,10,10
Gathering herbs,10,10
Gold Coins,10,10
Gray Code,20,20
Hankson’s Interesting Question,10,10
Hanoi Twin Towers,10,10
Harbor,20,2
Helix Matrix,10,2
Hopscotch,10,5
Huarong Road,20,16
ISBN Number,10,3
Jam’s Counting Method,10,10
Jinjin’s Savings Plan,10,10
Jinming’s Budget Plan,10,6
Job Scheduling Plan,10,10
Joint Weights,10,10
Jump Rocks,10,10
Kat's doubts,10,10
King Game,10,1
Lay the carpet,10,10
Love Running Every Day,20,0
Machine Translation,10,10
Machining Parts,20,8
Magic Circle,20,17
Magic Square,10,10
Martian,10,10
Matchstick Equation,10,1
Matrix Number Game,10,6
Message Passing,10,10
Mine Sweeper,10,10
Mingming’s Random Number,10,10
Missile Interception,10,10
Number-Filling Game,20,3
Numbers on the Tree,10,0
Numeration Problem,10,10
Palindrome Dates,10,10
Parentheses Tree,20,0
Passing Notes,10,0
Pave the Road,10,10
Peanut Picking,10,3
Placing Flowers,10,0
Polynomial Output,10,10
Prime Factorization,10,10
Prisoners,10,10
Public Transport Transfer,20,20
Queuing Matches,10,10
Receiving Water,10,10
Road Game,20,1
Scholarship,10,10
Score,10,10
Select Inns,10,10
Sequence,10,9
Shipping Plan,20,5
Shuffle,20,1
Sightseeing bus,20,2
Simplifying Proportion,10,0
Solve the Equation,10,2
Souvenir,20,3
Souvenir Grouping,10,10
Spinning Game,10,10
Statistics,10,10
String Expansion,10,10
Stupid Little Monkey,10,10
Submatrix,20,20
Sum,10,0
Swiss System,10,10
Symmetric Binary Tree,25,12
Taotao Picking Apple,10,10
Target-shaped Sudoku,20,0
The Battle Between Dragon and Tiger,25,25
The Big Bang Theory edition Rock-Paper-Scissors Game,10,10
The Center of Gravity of the Tree,10,0
The Core of the Tree Network,10,10
The Escape of the Watchman,10,9
The Game of Ball Passing,10,10
The Happy Jinming,10,10
The Librarian,10,10
The Lurker,10,10
The Number Game,20,20
The Optimal Trade,10,10
The Salesman,10,0
The Station Classification,10,0
The Three Kingdom Game,10,0
The Trees Outside the Campus,10,10
The Unhappy Jinjin,10,10
The Value of Expression,10,3
The Vigenère Code,10,10
The Worm-eaten Formula Puzzle,10,2
The location of The Wireless Network Transmitter,10,10
The smart quality supervisor,20,0
Title Statistics,20,20
Today’s Meal at Emiya’s House,25,0
Tortoise Chess,10,10
Toy Puzzle,20,20
Track Construction,20,5
Travel,25,17
Travel By Car,20,0
Treasure Hunt,10,10
Trucking,20,14
Two Stack Sort,10,3
Who got the most scholarships,10,10
Word Count,10,10
